LON,LAT,VALUE
114.9367,25.8664,56
114.6944,23.7586,56
114.4103,23.1142,56
113.5970833,24.68636111,56
113.257,22.7629,56
113.215,23.3917,56
113.105,23.0395,56
108.6236,21.9667,56
108.3511,21.7631,56
106.7039,35.5294,56
105.0717,29.5947,56
103.2139,35.6039,56
101.834,36.5819,56
123.1417,41.2894,55
120.999,31.381,55
120.721,31.671,55
120.669,31.3097,55
118.5857,37.4442,55
118.283,33.965,55
116.7022,39.5453,55
114.263,22.5908,55
113.0219,22.5311,55
112.9394,28.19,55
112.0369,22.9394,55
111.3178,23.475,55
108.6553,21.9508,55
104.5969,28.8194,55
103.7627,29.5844,55
103.7506,29.6007,55
102.0306,36.5067,55
124.3303,40.0625,54
121.6119444,38.97388889,54
120.953,31.388,54
118.0062,37.3803,54
116.4019,23.2536,54
114.9032,40.7688,54
114.8985,40.8367,54
113.568,23.2783,54
109.1436,21.4086,54
107.3701,22.3708,54
105.0331,29.5953,54
104.83,26.5917,54
103.7032,27.3392,54
97.3731,37.3753,54
120.94,31.93,53
120.744,30.7946,53
120.348,30.3058,53
118.0636111,24.44583333,53
117.0181,25.1174,53
116.6183,23.65889,53
114.9322,25.8333,53
114.9064,25.9118,53
114.8905,25.8471,53
114.3244,22.8172,53
113.5593889,24.81119444,53
113.433,23.105,53
113.3881,22.5497,53
113.299,22.2281,53
113.281,23.1569,53
113.261,23.105,53
113.26,23.1331,53
113.235,23.1422,53
111.5989,26.4519,53
110.9067,21.6669,53
110.1433,22.6164,53
109.7325,28.3169,53
109.1778,21.5233,53
106.513,29.389,53
106.056,30.8064,53
104.7778,31.4747,53
104.3883,31.1333,53
104.3539,31.1108,53
100.4686,38.9467,53
124.3678,40.1194,52
121.4478,37.4822,52
121.3181,37.5436,52
121.2514,37.5639,52
120.598,30.0911,52
114.6778,23.7569,52
114.5317,22.7422,52
114.4183,23.0528,52
114.4053,23.08,52
113.891,22.5794,52
113.3208,23.1323,52
110.8592,21.6828,52
110.4019,21.1997,52
110.3539,21.2706,52
108.5989,21.7431,52
121.2611,37.4967,51
117.2461,29.2956,51
117.1983,29.2786,51
116.72,40.1438,51
115.813,28.7442,51
115.3706,22.7898,51
114.9461,25.8481,51
114.117,22.5625,51
113.352,22.9477,51
112.9844,28.1178,51
112.0392,22.9169,51
110.9294,21.6533,51
109.6958,28.2675,51
106.634,29.4892,51
106.005,34.3469,51
103.8416,30.0874,51
101.5769,26.5928,51
100.9048,36.9639,51
124.3933,40.1461,50
121.4,31.238,50
121.173,31.896,50
120.7844444,30.7525,50
120.0875,30.89556,50
114.9817,27.0658,50
113.628,22.4251,50
113.074,22.5811,50
113.0348,25.7759,50
112.0194,27.7314,50
111.9494,21.865,50
111.2897,23.4792,50
110.5594,29.3547,50
109.5039,30.2989,50
109.2256,21.5958,50
105.0653,29.5817,50
104.6228,35.5714,50
104.4219,31.1208,50
102.638,25.0359,50
98.589,24.4335,50
123.15,41.2553,49
122.0931,46.0707,49
121.625,38.86388889,49
121.115,31.453,49
117.1558,29.2647,49
116.0797,24.2719,49
115.3653,22.775,49
115.3622,22.7925,49
114.6892,23.7233,49
113.7819444,23.05361111,49
113.0383,25.8071,49
112.9792,28.2597,49
111.5239,27.3033,49
109.2131,23.7208,49
109.1916,27.7297,49
107.3476,22.4137,49
104.054,30.6578,49
103.7705,29.5467,49
103.757,29.5634,49
101.7227,26.567,49
100.7939,22.0019,49
98.5842,24.428,49
120.118,33.4022,48
119.007,33.575,48
116.7258,23.2775,48
116.6794,23.3667,48
116.3242,23.5486,48
113.495,22.2294,48
113.348,23.0916,48
111.0286,21.4689,48
107.4611,31.2058,48
104.8475,26.5894,48
104.6169,35.5975,48
124.8528,45.1642,47
122.1067,37.5072,47
121.425,31.2261,47
117.963,40.9359,47
117.3097,29.3864,47
114.297,22.5978,47
114.1063,22.5545,47
113.987,22.5417,47
113.0014,28.1944,47
107.5272,31.2797,47
106.6351,30.4865,47
105.8945,32.4535,47
104.5761,28.71583,47
103.97275,30.72358333,47
100.0782,23.8982,47
121.467,31.3008,46
118.989,33.6067,46
116.6092,23.2539,46
115.0586,27.7758,46
115.0075,27.0983,46
113.574,22.2611,46
110.4558,21.2567,46
108.328,22.735,46
105.8153,32.4246,46
121.5180556,38.85611111,45
114.9739,27.11,45
114.085,22.75,45
113.865,27.6178,45
106.562,29.6453,45
106.452,29.709,45
104.079,30.5706,45
129.6115,44.5782,44
121.5992,37.4014,44
120.4587,36.0851,44
120.4134,36.0654,44
118.0018,37.3617,44
117.6028,26.2378,44
116.644,40.3937,44
116.1278,24.3289,44
111.4328,27.2272,44
107.5069,31.1956,44
106.65,29.6219,44
106.617,29.7125,44
104.0238889,30.65638889,44
103.8986,30.0506,44
103.8286,30.0561,44
103.0109,29.9834,44
92.0657,31.4846,44
130.3172,47.3489,43
122.0508,37.5325,43
119.135,33.5039,43
119.0186,33.6297,43
113.4411,22.4853,43
112.8872,28.2189,43
112.3439,28.56,43
111.9508,21.8536,43
111.6156,26.4214,43
106.6388,30.4551,43
106.6303,30.4576,43
104.6225,28.76611,43
107.525,31.215,42
106.6271,30.4663,42
104.9338889,33.38256667,42
104.89,26.5939,42
102.728,25.0836,42
100.2561,34.4714,42
97,33.0014,42
92.0506,31.4797,42
91.1319,29.6514,42
130.9298,45.2978,41
122.1206,37.4294,41
122.019,37.187,41
121.536,31.2659,41
120.86,32.0005,41
120.81,32.0417,41
117.0216,25.1035,41
114.8814,40.8115,41
113.7944444,23.01277778,41
111.4503,27.2537,41
109.2317,23.7369,41
108.321,22.8225,41
106.7417,31.8653,41
106.468,29.4892,41
105.4306,28.9583,41
99.1678,25.1081,41
98.8546,25.8417,41
129.3675,42.8775,40
121.7769,39.0511,40
121.577,31.2071,40
121.5638889,38.885,40
121.1518,31.89708,40
120.913,31.96,40
119.036,33.5981,40
117.0151,25.0311,40
114.99,27.1311,40
114.9289,27.8328,40
114.494,22.5422,40
114.375,27.8097,40
114.3703,27.7914,40
113.7480556,23.06,40
113.7461111,23.02777778,40
113.1076,41.0385,40
